,Category,Product,Country_code
0,yoghurt,Bulgarian yoghurt,100
1,yoghurt,Ergo,231
2,yoghurt,Viili,246
2,yoghurt,Viili,752
3,yoghurt,Nunu,288
3,yoghurt,Nunu,566
3,yoghurt,Nunu,854
4,yoghurt,Ayran,nan
5,yoghurt,Skyr,352
6,yoghurt,Lassi,356
7,yoghurt,Dahi,356
7,yoghurt,Dahi,524
7,yoghurt,Dahi,144
7,yoghurt,Dahi,050
7,yoghurt,Dahi,568
8,wine,Schilfwein,40
9,wine,Icewine,124
10,wine,Floc de Gascogne,250
11,wine,Maury,250
12,wine,Champagner,250
13,wine,Sauternes,250
14,wine,Monbazillac,250
15,wine,Trockenbeerenauslese,276
15,wine,Trockenbeerenauslese,40
16,wine,Spaetlese,276
16,wine,Spaetlese,616
17,wine,Eiswein,276
17,wine,Eiswein,040
18,wine,"Tokaji, Tokaj",348
19,wine,Amarone della Valpolicella,380
20,wine,Marsala,380
21,wine,Vin Santo,380
22,wine,Madeira,620
23,wine,Sherry,724
24,wine,Wine,nan
25,fermented vegetables,Sour cabbage,070
25,fermented vegetables,Sour cabbage,191
25,fermented vegetables,Sour cabbage,688
25,fermented vegetables,Sour cabbage,807
25,fermented vegetables,Sour cabbage,100
26,fermented vegetables,Chinese pickles,156
27,fermented vegetables,Sunki,392
28,fermented vegetables,"Takuan, Takuan-zuke, Danmuji",392
28,fermented vegetables,"Takuan, Takuan-zuke, Danmuji",410
29,fermented vegetables,Tsukemono,392
30,fermented vegetables,Meigan cai,156
31,fermented vegetables,Pao cai,156
32,fermented vegetables,Suan-cai,156
33,fermented vegetables,Yongfeng chili sauce,156
34,fermented vegetables,Zha cai,156
35,fermented vegetables,Curtido,222
36,fermented vegetables,kocho,231
37,fermented vegetables,Kimchi,404
38,fermented vegetables,Sauerkraut,276
39,fermented vegetables,Pikliz,332
40,fermented vegetables,"Bastanga, Ekung, Eup, Soijim, Soibum",356
41,fermented vegetables,Ekung,356
42,fermented vegetables,Hirring,356
43,fermented vegetables,"Inziangsang, Inziangdui",356
44,fermented vegetables,Soidon,356
45,fermented vegetables,Tuaithur,356
46,fermented vegetables,Lung-siej,356
47,fermented vegetables,Anishi,356
47,fermented vegetables,Anishi,104
48,fermented vegetables,Khalpi,356
48,fermented vegetables,Khalpi,064
48,fermented vegetables,Khalpi,524
49,fermented vegetables,Mesu,356
49,fermented vegetables,Mesu,064
49,fermented vegetables,Mesu,524
50,fermented vegetables,Sinki,356
50,fermented vegetables,Sinki,064
50,fermented vegetables,Sinki,524
51,fermented vegetables,Goyang,356
51,fermented vegetables,Goyang,524
52,fermented vegetables,Sayur asin,360
53,fermented vegetables,Acar,360
53,fermented vegetables,Acar,458
53,fermented vegetables,Acar,702
54,fermented vegetables,Burong mustala (or mustasa),608
55,fermented vegetables,Poi,840
56,fermented vegetables,Suancha,156
57,fermented vegetables,"Fermented Tea, Dark Tea",156
57,fermented vegetables,"Fermented Tea, Dark Tea",392
57,fermented vegetables,"Fermented Tea, Dark Tea",410
58,fermented vegetables,Lahpet,104
59,fermented vegetables,Miang,764
60,fermented roots,Ikivunde,108
61,fermented roots,Imikembe,108
62,fermented roots,Inyange,108
63,fermented roots,Chikwangue,178
64,fermented roots,Lafun,204
64,fermented roots,Lafun,288
64,fermented roots,Lafun,566
65,fermented roots,Agbelima,288
65,fermented roots,Agbelima,768
65,fermented roots,Agbelima,204
66,fermented roots,Garri,566
67,fermented roots,Yam flour,566
68,fermented roots,Kumkum,120
69,other,Attieke,384
70,fermented roots,Placali,384
71,fermented roots,Growol,360
72,fermented roots,Gatot,360
73,fermented roots,Tocosh,604
74,fermented roots,Landang,608
75,fermented roots,Fufu,566
76,fermented meat,Speck,380
76,fermented meat,Speck,040
77,fermented meat,Bak kwa,156
78,fermented meat,Kilishi,566
78,fermented meat,Kilishi,562
79,fermented meat,Mettwurst,276
80,fermented meat,Northern Hesse Ahle Wurscht,276
81,fermented meat,Teewurst,276
81,fermented meat,Teewurst,616
82,fermented meat,Kiviak,304
83,fermented meat,Winter salami,348
84,fermented meat,,352
85,fermented meat,"Jamma, Geema",356
86,fermented meat,Yak Kargyong,356
87,fermented meat,Suka ko masu,356
88,fermented meat,Faak kargyong,356
88,fermented meat,Faak kargyong,064
88,fermented meat,Faak kargyong,524
88,fermented meat,Faak kargyong,156
89,fermented meat,Lang kargyong,356
89,fermented meat,Lang kargyong,064
89,fermented meat,Lang kargyong,524
89,fermented meat,Lang kargyong,156
90,fermented meat,Chilu,356
90,fermented meat,Chilu,064
90,fermented meat,Chilu,524
90,fermented meat,Chilu,156
91,fermented meat,Kheuri,356
91,fermented meat,Kheuri,064
91,fermented meat,Kheuri,524
91,fermented meat,Kheuri,156
92,fermented meat,Chartayshya,356
92,fermented meat,Chartayshya,524
93,fermented meat,Arjia,356
93,fermented meat,Arjia,524
94,fermented meat,Sukakomasu,356
94,fermented meat,Sukakomasu,524
95,fermented meat,Urutan,360
96,fermented meat,"Capocollo, Capicola, Coppa",380
97,fermented meat,Ch'arki,604
97,fermented meat,Ch'arki,068
97,fermented meat,Ch'arki,152
98,fermented meat,Alheira,620
99,fermented meat,Bündnerfleisch,756
100,fermented meat,Pepperoni,840
101,fermented meat,Agos-os,608
102,fermented meat,Burong kalabi,608
103,fermented legumes,Soumbala,854
104,fermented legumes,Doubanjiang,156
105,fermented legumes,Furu,156
106,fermented legumes,Nattō,392
107,fermented legumes,Miso,392
107,fermented legumes,Miso,156
108,fermented legumes,Yandou,156
109,fermented legumes,Stinky tofu,156
110,fermented legumes,Tianmianjiang,156
111,fermented legumes,Meitauza,156
112,fermented legumes,Douzhi,156
113,fermented legumes,Soy sauce,nan
114,fermented legumes,Meju,404
115,fermented legumes,Cheonggukjang,404
116,fermented legumes,Doenjang,404
117,fermented legumes,Gochujang,404
118,fermented legumes,Dawadawa,288
119,fermented legumes,Dhokla,356
120,fermented legumes,Bekang,356
121,fermented legumes,Hawaijar,356
122,fermented legumes,Tungrymbai,356
123,fermented legumes,Vada,356
124,fermented legumes,Kinema,356
124,fermented legumes,Kinema,064
124,fermented legumes,Kinema,524
125,fermented legumes,Oncom,360
126,fermented legumes,Tauco,360
126,fermented legumes,Tauco,156
127,fermented legumes,"Sumbala, Soumbala",466
127,fermented legumes,"Sumbala, Soumbala",854
128,fermented legumes,Iru,566
129,fermented legumes,Bikalga,854
130,fermented fruit,Mandai,360
131,fermented fruit,Tempoyak,360
131,fermented fruit,Tempoyak,458
132,fermented fruit,Tejate,484
133,fermented fruit,Nata de coco,608
134,fermented fruit,Olives,840
134,fermented fruit,Olives,724
134,fermented fruit,Olives,620
134,fermented fruit,Olives,604
134,fermented fruit,Olives,152
134,fermented fruit,Olives,380
134,fermented fruit,Olives,300
135,fermented fruit,Cacao,nan
136,fermented fruit,Coffee,nan
137,fermented fruit,Nata de pina,608
138,fermented fruit,Lambanog,608
139,fermented fish,Prahok,116
140,fermented fish,Ika no shiokara,392
141,fermented fish,Katsuobushi,392
142,fermented fish,Kusaya,392
143,fermented fish,Narezushi,392
144,fermented fish,Shottsuru,392
145,fermented fish,Fesikh,818
145,fermented fish,Fesikh,008
145,fermented fish,Fesikh,100
145,fermented fish,Fesikh,642
145,fermented fish,Fesikh,807
145,fermented fish,Fesikh,688
145,fermented fish,Fesikh,070
146,fermented fish,Hongeo,404
147,fermented fish,Jeotgal,404
148,fermented fish,Igunaq,304
149,fermented fish,Hakarl,352
150,fermented fish,Kaest skata,352
151,fermented fish,Hentak,356
152,fermented fish,Karati,356
153,fermented fish,Bordia,356
154,fermented fish,Lanhouin,204
155,fermented fish,Guedj,686
156,fermented fish,Lashim,356
157,fermented fish,Ngari,356
158,fermented fish,Suka ko maacha,356
159,fermented fish,Sukuti,356
160,fermented fish,Tungtap,356
161,fermented fish,Gnuchi,356
162,fermented fish,Shidal,356
162,fermented fish,Shidal,050
163,fermented fish,Bakasang,360
164,fermented fish,Pedah,360
165,fermented fish,Ikan Peda,360
166,fermented fish,Terasi,360
167,fermented fish,Colatura di alici,380
168,fermented fish,Rakfisk,578
169,fermented fish,Bagoong terong,608
170,fermented fish,Balao-balao,608
171,fermented fish,Burong Bangus,608
172,fermented fish,Burong isda,608
173,fermented fish,Burong talangka,608
